id,district,city,name,address,ot,ct,no_cashier,sunday_open,chain_membership,p_coke,p_snickers
1,14,Outer ,Spar,"Szentmihályi út 23, 1144",06:30,21:00,3,Yes,Yes,259,189
2,14,Outer ,D&D Vegyesbolt,"Csert? u. 2, 1144",08:00,22:00,1,Yes,No,250,120
3,14,Outer ,Mini Grocery,Bolgarkertesz 1148,10:00,21:00,1,Yes,No,310,150
4,14,Outer ,Roni ABC,"Vezér u. 131, 1148",06:00,22:00,1,Yes,Yes,319,199
5,14,Outer ,Spar,"Egressy ut 178/c, 1146",06:30,21:00,3,Yes,Yes,259,189
6,14,Outer ,Tesco Express,"Nagy Lajos kiraly utja 73-77, 1148",07:00,21:00,3,Yes,Yes,275,199
7,14,Outer ,Vietnami Vegyes Kereskedes,"Nagy Lajos kiraly utja 84, 1148",07:00,20:00,1,Yes,No,229,120
8,14,Outer ,Kiraly Csemege,"Nagy Lajos kiraly utja 82, 1148",06:00,22:00,1,Yes,No,289,199
9,14,Outer ,Bari Market,"Nagy Lajos kiraly utja 74/A, 1148",07:00,21:00,1,Yes,No,269,149
10,14,Outer ,Szuper Diszkont Vegyes Bolt,"Kalapacs u. 18, 1148",08:00,20:00,1,Yes,No,269,139
11,7,Inner ,Roni ABC,"Dohany u. 66, 1074",00:00,00:00,2,Yes,Yes,319,199
12,7,Inner ,SUN Store ABC,"Dohany u. 69, 1074",06:00,23:00,1,Yes,No,289,185
13,7,Inner ,Szuper Diszkont,"Damjanich u. 21, 1071",07:30,20:00,1,Yes,No,270,120
14,7,Inner ,Spar,"Damjanich u. 11, 1071",06:30,21:00,9,Yes,Yes,279,189
15,7,Inner ,City Spar,"Erzsebet krt. 24, 1073",07:00,22:00,4,Yes,Yes,259,179
16,7,Inner ,Prater 0-24,"Wesselenyi u. 31-33, 1077",00:00,00:00,1,Yes,No,320,200
17,7,Inner ,Roni ABC,"Wesselenyi u. 71, 1077",00:00,00:00,2,Yes,Yes,319,199
18,7,Inner ,CBA,"Wesselenyi u. 30, 1077",06:00,21:00,2,Yes,Yes,329,179
19,7,Inner ,Kingo market,"Wesselenyi u. 24, 1077",09:00,22:00,1,Yes,No,290,150
20,7,Inner ,ABC,"Dob u. 14, 1072",10:00,00:30,1,No,No,350,200
